sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego
1,43,6,8,7,44,0,5,9.9
1,34,5,2,8,44,0,2,40.3
2,59,7,99,9,30,0,10,367.8
1,49,6,8,7,44,0,10,131.1
1,50,7,8,7,42,0,10,10.0
1,61,7,8,5,44,0,9,55.4
2,48,6,99,9,30,0,9,18.9
2,48,6,8,7,22,0,3,89.9
1,26,4,8,7,44,0,7,1.8
1,43,6,8,7,44,0,2,34.9
1,22,3,8,7,44,0,2,12.9
2,45,6,99,9,40,0,10,149.3
1,28,4,8,7,44,0,10,6.3
2,40,6,99,9,30,0,8,61.6
1,41,6,8,7,44,0,3,38.9
1,38,5,99,7,30,0,10,133.1
1,38,5,8,7,44,0,5,111.9
2,55,7,99,7,30,0,10,190.2
2,43,6,8,3,44,0,5,45.9
2,57,7,99,9,40,0,10,386.8
2,48,6,8,7,36,0,7,49.4
2,32,5,8,7,44,0,2,56.5
1,39,5,9,7,44,0,3,12.4
1,23,3,8,7,44,0,2,17.4
1,50,7,8,7,44,0,6,10.8
2,37,5,2,9,19,0,5,42.6
1,37,5,8,6,44,0,8,40.9
1,44,6,2,2,44,0,9,196.9
2,31,5,8,2,44,0,10,8.9
1,37,5,8,7,44,0,8,56.6
1,38,5,99,7,40,0,10,168.9
1,33,5,2,7,44,0,3,15.9
2,40,6,8,9,44,0,10,20.6
2,42,6,8,9,44,0,5,95.9
1,27,4,8,7,44,0,6,52.9
2,55,7,99,9,40,0,10,388.9
2,42,6,99,9,40,0,7,77.0
1,47,6,99,4,30,0,5,36.9
1,52,7,99,7,40,0,9,247.0
1,28,4,99,7,40,0,10,95.2
1,32,5,8,9,4,0,4,11.7
1,43,6,99,7,30,0,10,10.4
1,42,6,8,7,44,0,7,12.6
2,29,4,99,9,40,0,10,89.9
2,52,7,8,6,36,0,9,2.8
1,22,3,9,4,44,0,10,3.0
1,29,4,8,6,44,0,5,16.9
1,38,5,99,7,30,0,10,30.0
1,21,3,8,7,30,0,9,9.4
1,55,7,99,9,20,0,10,175.6
2,42,6,99,7,40,0,10,283.9
1,37,5,9,7,44,0,4,4.9
2,19,3,9,7,44,0,9,6.9
1,24,3,8,8,44,0,5,32.9
1,43,6,8,7,44,0,10,34.8
2,38,5,8,7,44,0,2,49.9
1,32,5,2,7,44,0,10,30.3
1,46,6,8,5,44,0,10,32.2
1,41,6,8,9,6,0,6,82.9
2,28,4,99,7,36,0,10,18.9
1,55,7,9,7,40,0,9,46.6
2,49,6,99,7,40,0,10,219.2
2,29,4,9,7,22,0,10,19.9
2,24,3,9,7,30,0,10,26.3
1,34,5,9,7,44,0,3,64.8
2,40,6,9,7,36,0,4,97.9
1,36,5,8,9,44,0,6,8.1
2,33,5,8,7,44,0,7,4.9
1,36,5,8,7,38,0,10,32.8
2,46,6,99,7,30,0,10,59.9
2,35,5,99,9,44,0,8,11.9
1,41,6,99,7,30,0,10,150.8
2,31,5,8,8,44,0,10,24.4
