sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,remuneracao
1,31,5,8,7,44,0,10,3.8,2551.21
1,58,7,8,7,44,0,3,1.9,3248.53
2,58,7,99,7,30,0,7,255.9,1662.69
1,29,4,8,7,44,0,8,0.4,918.82
1,54,7,99,9,40,0,10,132.9,6479.11
1,26,4,8,7,44,0,5,14.4,1900.88
2,55,7,8,4,44,0,8,51.3,1473.37
2,41,6,9,7,44,0,4,1.5,935.42
2,50,7,99,9,30,0,10,111.8,16282.02
2,37,5,8,6,44,0,4,9.9,855.59
1,29,4,2,8,44,0,6,43.0,1977.05
1,27,4,4,7,44,0,3,42.9,1937.12
2,53,7,9,7,13,0,3,191.9,1885.34
2,26,4,8,7,44,0,10,13.3,1354.31
2,52,7,99,7,30,0,10,194.3,2445.85
1,27,4,8,2,44,0,10,30.7,1098.61
1,23,3,8,7,44,0,7,5.2,1089.58
1,47,6,2,7,44,0,7,29.9,1707.44
1,24,3,8,7,44,0,2,34.9,1133.89
2,41,6,99,9,44,0,10,174.9,4636.55
1,40,6,2,9,42,0,9,197.8,9493.62
1,38,5,9,7,33,0,8,146.8,21038.64
2,38,5,99,7,30,0,10,64.5,2397.74
2,43,6,8,7,36,0,10,15.6,1597.4
2,47,6,99,9,40,0,10,226.4,3972.58
1,56,7,8,5,42,1,3,240.5,1990.24
1,36,5,2,9,40,0,10,149.9,8006.78
2,27,4,8,7,44,0,4,5.9,1094.3
1,23,3,6,7,44,0,7,16.6,1244.1
1,25,4,2,8,40,0,7,33.2,2305.0
1,28,4,99,9,40,0,10,42.9,1329.25
2,53,7,99,7,40,0,9,398.9,4861.64
1,20,3,8,2,44,0,9,2.9,1067.99
1,31,5,8,6,44,0,7,59.8,1858.13
1,19,3,9,2,44,0,7,12.9,1234.17
1,55,7,99,9,40,0,10,119.4,11692.27
2,31,5,2,8,44,0,7,13.5,4647.57
2,33,5,99,10,40,0,10,80.7,13459.17
1,50,7,2,7,44,0,10,351.4,7751.72
1,52,7,99,9,40,0,10,294.6,13223.41
1,47,6,8,2,44,0,2,22.9,1002.19
1,21,3,8,7,44,0,4,5.6,1351.11
1,39,5,8,7,0,0,10,33.7,7381.45
